Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1991","1991","hg/ha","147143","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1992","1992","hg/ha","135000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1993","1993","hg/ha","162000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1994","1994","hg/ha","164286","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1995","1995","hg/ha","166197","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1996","1996","hg/ha","170118","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1997","1997","hg/ha","161667","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1998","1998","hg/ha","160000","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1999","1999","hg/ha","185714","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2000","2000","hg/ha","182432","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2001","2001","hg/ha","263514","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2002","2002","hg/ha","172742","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2003","2003","hg/ha","118859","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2004","2004","hg/ha","293185","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2005","2005","hg/ha","233438","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2006","2006","hg/ha","285714","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2007","2007","hg/ha","241935","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2008","2008","hg/ha","251613","E","Estimated value"
